"TIME_PERIOD","OBS_VALUE"
"2016-M02","88.82779911423291"
"2016-M03","89.33367343018867"
"2016-M04","89.63276256883216"
"2016-M05","90.11749654880498"
"2016-M06","90.53609232027407"
"2016-M07","90.65197851844388"
"2016-M08","90.74480614444718"
"2016-M09","91.2376411866175"
"2016-M10","91.9965558860075"
"2016-M11","92.43878333015184"
"2016-M12","92.64908156222753"
"2017-M01","93.07193197047781"
"2017-M02","93.2895341474247"
"2017-M03","93.48357637845164"
"2017-M04","93.48656785289537"
"2017-M05","92.99347950671329"
"2017-M06","92.83436766327692"
"2017-M07","92.93620696460371"
"2017-M08","93.78861785488285"
"2017-M09","94.34394026120163"
"2017-M10","94.73414679812197"
"2017-M11","94.85872220116201"
"2017-M12","95.05451060378505"
"2018-M01","95.53748257216286"
"2018-M02","96.23223114542724"
"2018-M03","95.97327021141571"
"2018-M04","96.05331191877186"
"2018-M05","96.58016433464635"
"2018-M06","97.16785463462305"
"2018-M07","97.0798205583239"
"2018-M08","97.51871842706801"
"2018-M09","98.09749202093291"
"2018-M10","98.4227833044736"
"2018-M11","98.13893199742389"
"2018-M12","97.88995352694677"
"2019-M01","97.98608146131033"
"2019-M02","98.77153789030349"
"2019-M03","98.56451274688599"
"2019-M04","98.86976704286271"
"2019-M05","99.35719499438378"
"2019-M06","99.26558766059948"
"2019-M07","99.44585396779111"
"2019-M08","99.72440180475436"
"2019-M09","100.038832843645"
"2019-M10","100.6241600546135"
"2019-M11","101.5927682192987"
"2019-M12","103.0140510466867"
"2020-M01","104.2840082679908"
"2020-M02","104.1098539741828"
"2020-M03","103.36317810148"
"2020-M04","101.7683876265519"
"2020-M05","101.7376535734893"
"2020-M06","102.4074942846171"
"2020-M07","102.816407409295"
"2020-M08","102.8928"
"2020-M09","103.020901536"
"2020-M10","103.1093964904194"
"2020-M11","103.1007353011142"
"2020-M12","103.2067228570038"
"2021-M01","103.2711238520665"
"2021-M02","104.8388827832648"
"2021-M03","104.558229094054"
"2021-M04","104.5181832923109"
"2021-M05","104.683740094646"
"2021-M06","104.8799174235833"
"2021-M07","105.5326900296277"
"2021-M08","105.7943055682112"
"2021-M09","105.1431416174388"
"2021-M10","104.9295958968138"
"2021-M11","105.2663149700467"
"2021-M12","105.0751513420611"
"2022-M01","105.276475332032"
"2022-M02","106.3317667207608"
"2022-M03","107.0778967278403"
"2022-M04","107.2753483694065"
"2022-M05","107.6807419108944"
"2022-M06","108.4187857159517"
"2022-M07","108.8473651758869"
"2022-M08","108.8528075441457"
"2022-M09","109.2861505709789"
"2022-M10","109.444834061608"
"2022-M11","109.8686044590946"
"2022-M12","109.8548708835372"
"2023-M01","110.4209530332"
"2023-M02","110.9166326913661"
"2023-M03","110.6660720181163"
"2023-M04","110.2870407214542"
"2023-M05","110.2953122495083"
"2023-M06","110.5902419144635"
"2023-M07","111.0932063346905"
"2023-M08","112.0720485757054"
"2023-M09","113.2823146282745"
"2023-M10","113.375432690899"
"2023-M11","113.6571706411358"
"2023-M12","113.7887856447382"
"2024-M01","114.1431250319617"
"2024-M02","115.3271316679182"
"2024-M03","115.0588807596586"
"2024-M04","115.1429888014939"
"2024-M05","115.1969908632418"
"2024-M06","115.3874114891388"
"2024-M07","115.9358478559467"
"2024-M08","115.9350363050117"
"2024-M09","116.265451158481"
"2024-M10","116.652847641741"
"2024-M11","116.8015800224843"
"2024-M12","117.1366837555688"
"2025-M01","118.2860288965784"
"2025-M02","118.68678196248"
"2025-M03","118.6558047123878"
"",""
