Release date,Actual,Forecast,Previous
"Apr 06, 2026 (Mar)",,,"-1,040.00M"
"Mar 06, 2026 (Feb)","-1,040.00M",,"-1,078.00M"
"Feb 06, 2026 (Jan)","-1,078.00M",,-640.00M
"Jan 05, 2026 (Dec)",-660.00M,,"1,230.00M"
"Dec 06, 2025 (Nov)","1,090.00M",,"2,600.00M"
"Nov 06, 2025 (Oct)","2,600.00M",,"2,850.00M"
"Oct 06, 2025 (Sep)","2,850.00M",,"3,720.00M"
"Sep 06, 2025 (Aug)","3,720.00M",,"2,290.00M"
"Aug 06, 2025 (Jul)","2,270.00M",,"2,860.00M"
"Jul 05, 2025 (Jun)","2,830.00M",,560.00M
"Jun 06, 2025 (May)",560.00M,,580.00M
"May 06, 2025 (Apr)",580.00M,,"1,630.00M"
"Apr 06, 2025 (Mar)","1,630.00M",,"-1,055.00M"
"Mar 06, 2025 (Feb)","-1,055.00M",,"3,002.00M"
"Feb 06, 2025 (Jan)","3,003.00M",,520.00M
"Jan 06, 2025 (Dec)",520.00M,,"1,060.00M"
"Dec 06, 2024 (Nov)","1,060.00M",,"2,030.00M"
"Nov 06, 2024 (Oct)","1,990.00M",,"2,290.00M"
"Oct 06, 2024 (Sep)","2,290.00M",,"4,530.00M"
"Sep 06, 2024 (Aug)","4,530.00M",,"2,360.00M"
"Jul 29, 2024 (Jul)","2,120.00M",,"3,200.00M"
2024-06-29 00:00:00,"2,940.00M",,-450.00M
"May 29, 2024 (May)","-1,000.00M",,"1,100.00M"
2024-04-29 00:00:00,700.00M,,"2,900.00M"
2024-03-29 00:00:00,"2,900.00M",,"1,100.00M"
2024-02-29 00:00:00,"1,100.00M",,"3,620.00M"
"Jan 29, 2024 (Jan)",380.00M,,"2,070.00M"
2023-12-29 00:00:00,"2,280.00M",,154.00M
2023-11-29 00:00:00,-120.00M,,"2,730.00M"
2023-10-29 00:00:00,"3,000.00M",,"2,200.00M"
2023-09-29 00:00:00,"2,290.00M",,"3,440.00M"
2023-08-29 00:00:00,"3,820.00M",,"3,070.00M"
2023-07-29 00:00:00,"2,150.00M",,"3,090.00M"
2023-06-29 00:00:00,"2,590.00M",,"2,000.00M"
2023-05-29 00:00:00,"2,240.00M",,"2,650.00M"
2023-04-29 00:00:00,"1,510.00M",,"1,390.00M"
2023-03-29 00:00:00,650.00M,,"2,810.00M"
2023-02-28 00:00:00,"2,300.00M",,500.00M
2023-01-29 00:00:00,"3,600.00M",,"1,740.00M"
2022-12-29 00:00:00,500.00M,,740.00M
2022-11-29 00:00:00,780.00M,,"2,470.00M"
2022-10-29 00:00:00,"2,270.00M",,"1,430.00M"
2022-09-29 00:00:00,"1,400.00M",,"2,420.00M"
2022-08-29 00:00:00,"2,420.00M",,80.00M
2022-07-29 00:00:00,21.00M,,61.00M
2022-06-29 00:00:00,280.00M,,"-1,750.00M"
2022-05-30 00:00:00,"-1,730.00M",,850.00M
2022-04-29 00:00:00,"1,070.00M",,"2,050.00M"
2022-03-29 00:00:00,"1,390.00M",,"-1,960.00M"
2022-02-28 00:00:00,"-2,300.00M",,"1,400.00M"
2022-01-29 00:00:00,-500.00M,,"3,000.00M"
2021-12-29 00:00:00,"2,500.00M",,"1,300.00M"
2021-11-29 00:00:00,"1,000.00M",,"2,740.00M"
2021-10-29 00:00:00,"1,100.00M",,400.00M
2021-09-29 00:00:00,500.00M,,-100.00M
2021-08-29 00:00:00,"-1,300.00M",,"-1,250.00M"
2021-07-29 00:00:00,"-1,700.00M",,-560.00M
2021-06-29 00:00:00,"-1,000.00M",,"-2,070.00M"
2021-05-29 00:00:00,"-2,000.00M",,"-1,500.00M"
2021-04-29 00:00:00,"-1,500.00M",,"4,000.00M"
2021-03-29 00:00:00,400.00M,,-500.00M
2021-02-28 00:00:00,-800.00M,,"2,100.00M"
2021-01-29 00:00:00,"1,300.00M",,"-1,000.00M"
2020-11-29 00:00:00,600.00M,,"2,900.00M"
2020-10-29 00:00:00,"2,200.00M",,"3,000.00M"
2020-09-29 00:00:00,"3,500.00M",,"5,000.00M"
2020-08-29 00:00:00,"3,500.00M",,"2,800.00M"
2020-07-29 00:00:00,"1,000.00M",,500.00M
2020-06-29 00:00:00,500.00M,,"1,000.00M"
2020-05-29 00:00:00,-900.00M,,-700.00M
2020-04-29 00:00:00,-700.00M,,"1,980.00M"
2020-03-27 00:00:00,880.00M,,236.00M
2020-02-29 00:00:00,100.00M,,-280.00M
2020-01-29 00:00:00,259.00M,,259.00M
2019-12-27 00:00:00,"-1,000.00M",,100.00M
2019-11-29 00:00:00,100.00M,,"1,860.00M"
2019-10-29 00:00:00,100.00M,,500.00M
2019-09-29 00:00:00,500.00M,,"3,430.00M"
2019-08-29 00:00:00,"1,700.00M",,43.00M
2019-07-29 00:00:00,200.00M,,400.00M
2019-06-29 00:00:00,400.00M,,"-1,300.00M"
2019-05-29 00:00:00,"-1,300.00M",,-554.00M
2019-04-29 00:00:00,-700.00M,,"1,600.00M"
2019-03-28 00:00:00,600.00M,,-768.00M
2019-02-28 00:00:00,-900.00M,,816.00M
2019-01-29 00:00:00,-800.00M,,-811.00M
2018-12-27 00:00:00,-200.00M,,153.00M
2018-11-29 00:00:00,-400.00M,,77.00M
2018-10-29 00:00:00,100.00M,,"1,612.00M"
2018-09-28 00:00:00,700.00M,,"2,200.00M"
2018-08-29 00:00:00,-100.00M,,-635.00M
2018-07-29 00:00:00,-300.00M,,799.00M
2018-06-29 00:00:00,-100.00M,,-814.00M
2018-05-29 00:00:00,-500.00M,,"1,163.00M"
2018-04-29 00:00:00,700.00M,,"2,260.00M"
2018-03-29 00:00:00,800.00M,,294.00M
2018-02-28 00:00:00,900.00M,,181.00M
2018-01-29 00:00:00,-300.00M,,-234.00M
2017-12-27 00:00:00,-234.00M,,200.00M
2017-11-29 00:00:00,200.00M,,"2,181.00M"
2017-10-29 00:00:00,900.00M,,"1,100.00M"
2017-09-28 00:00:00,400.00M,,"1,590.00M"
2017-08-29 00:00:00,400.00M,,266.00M
2017-07-29 00:00:00,-300.00M,,-300.00M
2017-06-29 00:00:00,-200.00M,,-528.00M
2017-05-29 00:00:00,-800.00M,,186.00M
2017-04-28 00:00:00,-800.00M,,"-1,100.00M"
2017-03-29 00:00:00,"-1,100.00M",,"-2,100.00M"
2017-02-28 00:00:00,"-1,200.00M",,"1,150.00M"
2017-02-02 00:00:00,-100.00M,,-494.00M
2016-12-28 00:00:00,-300.00M,,-243.00M
